Tourney,tourneyDate,Url_Pairings,Round,Winner,Loser
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Ale Piscitelli,Arman Long
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Anton Galkin,Joshua Denk
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Raphael Bagara,Ben Larson
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Cody Clark,Bloody X
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Gilberto Goracci,Luis Carranza
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Nick Navarre,Andre Echols
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,juan guzman,Adrienn Tindall
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Jordan Hyde,Samuel Jobin
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Mr. Minority,Aaron Duckworth
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Andrew Joseph Bathan,Shawn Tang
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Loren Klemesrud,Trevin Hall
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,William Dannhauser,Vincenzo Marrero
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Andrew Harris,Jacob Fields
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Samuel Kruse,Solomon Norris
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Kevonne Boreland,Kevin Grondin
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Bridger Snow,Jonathan Wise
Portland Pokémon VGC Regional Championship,"May 6, 2023",https://rk9.gg/pairings/xz2deBnaAtiQYiWRioh8,1,Darrell Martin,Taylor Brown
